1,154,275,"Ross,Chandler","person,chair,couch,tie"
93,13094,13178,Joey,person
94,13196,13227,Joey,person
95,13227,13295,Joey,"person,bed"
96,13295,13389,Ross,
97,13389,13449,Ross,
98,13536,13592,Ross,
99,13592,13751,"Ross,Phoebe",
100,13751,14099,"Ross,Phoebe",
101,14099,14160,Ross,person
102,14160,14255,"Ross,Phoebe",
103,14255,14438,"Ross,Phoebe",person
104,14438,14472,Ross,
105,14472,14750,"Ross,Phoebe",
106,14750,14828,"Ross,Phoebe",
107,14828,14911,Ross,
108,15186,15258,Rachel,person
109,15347,15452,Rachel,"person,cup"
110,15452,15506,Joey,person
111,15506,15747,Joey,
112,15783,15866,Joey,
113,15866,15911,Joey,person
114,15911,15956,"Ross,Phoebe",person
115,16024,16269,"Ross,Phoebe",person
116,16269,16339,Phoebe,person
117,16339,16391,Ross,person
118,16391,16420,Phoebe,person
119,16420,16481,"Ross,Phoebe",person
120,16481,16594,"Monica,Chandler","person,chair,potted_plant,couch"
121,16594,16926,"Monica,Chandler",person
122,16926,16986,"Monica,Chandler","person,chair,potted_plant,couch"
123,16986,17146,"Monica,Chandler",person
124,17146,17267,"Monica,Chandler",person
125,17267,17307,"Monica,Joey,Chandler","person,potted_plant,couch"
126,17307,17365,"Monica,Chandler","person,chair"
127,17365,17527,"Monica,Chandler",
128,17527,17714,Rachel,person
129,17761,18005,Rachel,"person,tie"
130,18228,18297,Rachel,"person,cup,tie"
131,18500,18607,Rachel,"person,cup"
132,18817,18982,Rachel,"person,cup"
133,18982,19184,Rachel,person
134,19184,19296,Joey,
135,19356,19404,Joey,
136,19506,19539,Joey,
137,19753,19810,Joey,
138,20119,20504,Joey,
139,20562,20714,Ross,person
140,20714,20906,Ross,
141,20990,21198,Ross,
142,21396,21461,Ross,
143,21461,21513,Ross,person
144,21513,21571,Phoebe,
145,21571,21709,Ross,person
146,21709,21975,Phoebe,
147,21975,22042,Ross,
148,22042,22308,Phoebe,
149,22308,22363,Ross,
150,22363,22405,Phoebe,
151,22405,22470,Ross,
152,22585,22835,"Joey,Chandler",
153,22835,22882,"Monica,Rachel,Joey,Chandler","tv,person"
154,22882,22936,"Joey,Chandler",
155,22936,22989,"Monica,Rachel,Joey,Chandler","tv,person"
156,22989,23099,"Joey,Chandler",
157,23167,23216,"Monica,Rachel,Joey,Chandler",person
158,23307,23391,"Monica,Rachel",person
159,23391,23447,"Ross,Phoebe",person
160,23447,23536,"Ross,Phoebe",person
161,23536,23693,Phoebe,person
162,23693,23929,"Ross,Phoebe",
163,23929,24035,Ross,person
164,24035,24299,Ross,
165,24299,24377,Ross,person
166,24589,24758,"Monica,Ross,Rachel,Joey","person,chair"
167,24758,24802,Ross,person
168,24844,24893,"Ross,Joey,Chandler",person
169,24893,24937,Rachel,person
170,24970,25157,"Joey,Chandler",person
171,25157,25259,"Ross,Joey,Chandler",person
172,25259,25504,Chandler,person
173,25504,25604,Ross,"tv,person"
174,25643,25758,Ross,person
175,25838,25938,Ross,person
176,25991,26092,Ross,person
177,26132,26244,Ross,person
178,26284,26328,Ross,"person,potted_plant"
179,26377,26572,Ross,person
180,26654,26754,Ross,person
181,26801,27523,Ross,person
182,27523,27602,Ross,person
183,27602,27682,Ross,person
184,27682,27714,Monica,person
185,27734,28015,"Monica,Ross,Rachel,Joey,Chandler,Phoebe","person,bed"
186,28015,28142,"Monica,Ross,Rachel,Joey,Chandler,Phoebe",person
187,28142,28185,"Ross,Rachel,Chandler,Phoebe",person
188,28185,28253,"Monica,Ross,Joey",person
189,28253,28359,"Ross,Rachel,Chandler,Phoebe",person
190,28359,28424,"Monica,Ross,Joey",person
191,28424,28574,"Ross,Rachel,Chandler,Phoebe",person
192,28574,28707,"Monica,Ross,Joey",person
193,28707,28864,"Ross,Rachel,Joey",person
194,28864,28906,"Chandler,Phoebe",person
195,28906,29319,"Monica,Ross",person
196,29319,32495,"Monica,Ross,Rachel,Joey,Chandler,Phoebe",person
